timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674201111781,684,Test Authorization,200,OK,Thread Group 1-1,text,true,,9255,5151,1,1,https://auth.jai-kisan.com/auth/realms/test/protocol/openid-connect/token,670,0,345
1674201112465,0,Test Authorization-0,200,OK,Thread Group 1-1,text,true,,4278,0,1,1,null,0,0,0
1674201112467,3375,Onboard Coco Entity,201,Created,Thread Group 1-1,text,true,,9965,3363,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-entity-onboarding/section/en-sec-entity-details/entities/create,3370,0,246
1674201115841,0,Onboard Coco Entity-0,200,OK,Thread Group 1-1,text,true,,4643,0,1,1,null,0,0,0
1674201115842,0,Onboard Coco Entity-1,200,OK,Thread Group 1-1,text,true,,4717,0,1,1,null,0,0,0
1674201115854,1561,Status Toggle API,200,OK,Thread Group 1-1,text,true,,447,3135,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-firm-isGst/entities/status-toggle/63ca48196049f38735f1b2a7/ACTIVE,1561,0,0
1674201117416,287,Common Section API,200,OK,Thread Group 1-1,text,true,,3842,3051,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/cnf/forms/en-bnpl-cnf-common-details/63ca48196049f38735f1b2a7,285,0,0
1674201117704,689,Fetch Promoter Details,200,OK,Thread Group 1-1,text,true,,900,3107,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-promoter-details/entities/fetch/63ca48196049f38735f1b2a7,689,0,0
1674201118394,597,Fetch Firm Details,200,OK,Thread Group 1-1,text,true,,2345,3103,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-firm-details/entities/fetch/63ca48196049f38735f1b2a7,597,0,0
1674201118992,684,Fetch Registered Address Details,200,OK,Thread Group 1-1,text,true,,1258,3106,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-company-address/entities/fetch/63ca48196049f38735f1b2a7,684,0,0
1674201119677,2560,Update Promoter Details,200,OK,Thread Group 1-1,text,true,,1508,3270,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-promoter-details/entities/update/63ca48196049f38735f1b2a7,2560,0,0
1674201122238,2895,Update Firm Details,200,OK,Thread Group 1-1,text,true,,2948,3539,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-firm-details/entities/update/63ca48196049f38735f1b2a7,2894,0,0
1674201125134,2818,Update Registered Address Details,200,OK,Thread Group 1-1,text,true,,3173,3352,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-company-information-tab-1/section/en-sec-company-address/entities/update/63ca48196049f38735f1b2a7,2818,0,0
1674201127953,2928,Coco Create Proposal,201,Created,Thread Group 1-1,text,true,,9860,3135,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-product-information-create/section/en-sec-product-details-create/entities/create/63ca48196049f38735f1b2a7,2923,0,0
1674201130880,1,Coco Create Proposal-0,200,OK,Thread Group 1-1,text,true,,4589,0,1,1,null,0,0,0
1674201130881,0,Coco Create Proposal-1,200,OK,Thread Group 1-1,text,true,,4606,0,1,1,null,0,0,0
1674201130882,3379,Update Proposal Commercials,200,OK,Thread Group 1-1,text,true,,3749,3598,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-product-information/section/en-sec-product-details/entities/update/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,3374,0,0
1674201134261,2155,Update Stage Mapping-doc submision,200,OK,Thread Group 1-1,text,true,,447,3238,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/bk/cnf/en-cnf-product-information/section/en-sec-proposal-stage-mapping/toggle-stage-mapping/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,2155,0,0
1674201136417,2896,Update Stage Mapping-credit approval,200,OK,Thread Group 1-1,text,true,,447,3238,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/bk/cnf/en-cnf-product-information/section/en-sec-proposal-stage-mapping/toggle-stage-mapping/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,2896,0,0
1674201139313,2093,Update Stage Mapping-post sanction,200,OK,Thread Group 1-1,text,true,,447,3238,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/bk/cnf/en-cnf-product-information/section/en-sec-proposal-stage-mapping/toggle-stage-mapping/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,2093,0,0
1674201141407,2991,Update Stage Mapping-Activation,200,OK,Thread Group 1-1,text,true,,447,3238,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/bk/cnf/en-cnf-product-information/section/en-sec-proposal-stage-mapping/toggle-stage-mapping/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,2991,0,0
1674201144400,728,Fetch Proposals Listing PG,200,OK,Thread Group 1-1,text,true,,3031,3230,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/query/cnf/en-bnpl-cnf-custom-queries/code/en-bnpl-coco-proposals-listing-pg/63ca48196049f38735f1b2a7,724,0,0
1674201145129,923,Download Agents CSV Template,200,OK,Thread Group 1-1,text,true,,622,3015,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/bnpl/file/template/agents,923,0,0
1674201146053,6269,Add Agent - non-duplicate no,200,OK,Thread Group 1-1,text,true,,10195,3219,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/bnpl/cnf/en-bnpl-cnf-proposal-agents-details/section/en-sec-proposal-agent-info/addNewAgent/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4,6264,0,0
1674201152320,1,Add Agent - non-duplicate no-0,200,OK,Thread Group 1-1,text,true,,4770,0,1,1,null,0,0,0
1674201152321,0,Add Agent - non-duplicate no-1,200,OK,Thread Group 1-1,text,true,,4844,0,1,1,null,0,0,0
1674201152322,1985,Agent Status Toggle,200,OK,Thread Group 1-1,text,true,,592,3181,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/bnpl/cnf/en-bnpl-cnf-proposal-agents-details/section/en-sec-proposal-agent-info/toggleAgentStatus/63ca48196049f38735f1b2a7/63ca48286049f38735f1b2c4/63ca483f6049f38735f1b2fc,1985,0,0
1674201154308,8021,Onboard Non Coco Entity,201,Created,Thread Group 1-1,text,true,,12240,3715,1,1,https://test-entity.jai-kisan.com/entities/v1/en-master/bk/bnpl/cnf/bk-cnf-upsert/entities/upsert,8016,0,0
1674201162327,1,Onboard Non Coco Entity-0,200,OK,Thread Group 1-1,text,true,,5777,0,1,1,null,0,0,0
1674201162328,1,Onboard Non Coco Entity-1,200,OK,Thread Group 1-1,text,true,,5485,0,1,1,null,0,0,0
1674201162329,3094,Create Proposal non coco,201,Created,Thread Group 1-1,text,true,,11038,3135,1,1,https://test-entity.jai-kisan.com/entities/v1/en-bnpl-master/biz/cnf/en-bnpl-cnf-product-information-create/section/en-sec-product-details-create/entities/create/63ca48436049f38735f1b303,3089,0,0
1674201165420,2,Create Proposal non coco-0,200,OK,Thread Group 1-1,text,true,,5171,0,1,1,null,0,0,0
